contentId,Top1,Top2,Top3,Top4,Top5
6031953227014493100,-6761163882540291832,-8146108036639482450,-6584408680441477889,4815632823882298534,-5843518165523212471
-7638840925036528150,-1999468346928419252,-5470166294767187597,672199059798181601,4744297321841608877,5410293063635507608
-1676378465482420452,6222001809679591440,5929055844564382383,-4070929606295451361,-3060116862184714437,8631616594020837056
-1150591229250318592,-5581910915745827384,-6642751159620064055,1990052153136096105,-6245524727898921842,1532206435917316688
-2487699318115820990,4422997595777504091,-7463572107837163154,-6623581327558800021,-8717945432162716060,-9033211547111606164
8900292750226176660,-9033211547111606164,5258604889412591249,6678691743269420670,1328618437884612347,-7463572107837163154
6817244649248188271,-2462651558329037716,-1609424513692297222,-5470166294767187597,-7638840925036528150,-9152398073968262186
-885886002174762919,2930191803881821526,-1181242543195516037,1649752043999819668,-8480712303720557641,-6932442635231192683
6006800146436649545,-1999468346928419252,-115909536143817330,5263606973029607223,6389624212149850449,5211673327552264703
-3231932874544830919,231281690254211527,-6761163882540291832,-2323511129839590090,-3387298624573211014,4546206336477094824
-7442296890640709658,8946250624470221174,5967886403500658324,5817939718364925129,2628816849077589497,5817939718364925129
-6570327055377820618,-8068727428160395745,-253149055249888078,5258604889412591249,6678691743269420670,-5637143900506554933
-1897853393557630253,896159636285333275,3293246847422795557,-7442296890640709658,-7732246497578572511,6049739262059615567
8734156751308150579,8550670510357310628,-7358932766266901263,1829180586132834070,6244532954645766056,8424505741986577894
-3179358869851478234,5929055844564382383,-4762897581600184489,4785499183287168509,-5829979886567267504,-6340141548068597572
-6761163882540291832,-5082274522455747241,-2323511129839590090,4546206336477094824,4815632823882298534,231281690254211527
679005777543560737,-2323511129839590090,-8591127493017117985,-1104501717379772664,-6761163882540291832,8779890754987103603
-8052188270551570124,231281690254211527,-2167839778474325326,-6761163882540291832,4546206336477094824,-2323511129839590090
7510090557616166004,3382795524953511662,2474876390020567211,8729086959762650511,6075137928366965854,-5813211845057621660
-5628343274127925011,4904775878165401439,2255878226385826814,5929055844564382383,-3060116862184714437,5930806521893160184
8631616594020837056,-1676378465482420452,8424505741986577894,6222001809679591440,5929055844564382383,6844164348224220577
-6207670654614839859,-3951274083288934897,3293246847422795557,4785499183287168509,-3269885695260066314,2399228553079505025
2255878226385826814,-8900113512825364282,5929055844564382383,5930806521893160184,-5458316826145145813,3999205546352981758
-5458316826145145813,-3060116862184714437,5930806521893160184,2255878226385826814,5395868751435718725,3999205546352981758
5395868751435718725,6892866957050839435,-5154395767417065070,-7499831854130267106,-5458316826145145813,-9086955082453789880
1797385737206265555,-3872763991286728274,7419040071212162906,8748370453256790422,6097677219931837830,-7442296890640709658
5410293063635507608,4744297321841608877,-91139000311163410,-4195851681734441295,-7638840925036528150,672199059798181601
8240934591713322028,-8591127493017117985,6892165923784661946,-5924653357616257702,-5924653357616257702,6669026579073415958
174707786647990372,-115909536143817330,1532206435917316688,-9033211547111606164,-4673235524420943843,5211673327552264703
-9033211547111606164,-2487699318115820990,5258604889412591249,-8068727428160395745,1328618437884612347,5211673327552264703
8779890754987103603,-8591127493017117985,-1104501717379772664,-2323511129839590090,-6761163882540291832,679005777543560737
-2424983931459616622,5211673327552264703,886450434856305025,-4158297476631283435,962287586799267519,-3870325027932266414
6587635730509289343,886450434856305025,-5521549171704079872,4607279316199873708,-3462051751080362224,-3061741807736367554
5211673327552264703,3293246847422795557,-8480712303720557641,-115909536143817330,1328618437884612347,-9033211547111606164
886450434856305025,962287586799267519,-4158297476631283435,4532698165746826599,3407455496422791860,-2976309714446243509
-3061741807736367554,8836508987743809103,-8717945432162716060,-3462051751080362224,886450434856305025,6587635730509289343
348632682812866328,8628621643938810986,5681075485882787671,6075137928366965854,-4309525417316029305,7775857588929395558
3128282567747885251,7775857588929395558,-5813211845057621660,-3058031327323357308,8836508987743809103,6075137928366965854
4430520614172753870,-3269885695260066314,-5257244885628286303,5053372977408537204,-434149774629603391,-9089854794058353436
-6884335507424704154,-7215110246375999491,-340541651592032197,7581009799961380333,-5829979886567267504,-4280604324733069853
4785499183287168509,-3269885695260066314,2399228553079505025,-2976309714446243509,2952636544547704346,-3951274083288934897
-4673235524420943843,5211673327552264703,8526042588044002101,4532698165746826599,-9033211547111606164,174707786647990372
-5154395767417065070,-3951274083288934897,4785499183287168509,31349081826574004,-9086955082453789880,5395868751435718725
-7191607771634445823,6797493571710971497,1328618437884612347,6678691743269420670,672199059798181601,-3751249597609107201
-6244754482621048226,1328618437884612347,-9033211547111606164,-3745582971859460684,5258604889412591249,-8068727428160395745
2617330491231854367,-5082274522455747241,-1306208577536428610,-2323511129839590090,-5843518165523212471,-2167839778474325326
834896074125772354,1184320069221244535,-44082375822273498,6844164348224220577,8631616594020837056,5929055844564382383
4893900714822288649,-879594538384021068,-2323511129839590090,-1251258405608426882,1115750778137998115,-5082274522455747241
-637050915727878966,5053372977408537204,-6639617916149472585,-5257244885628286303,-9089854794058353436,-434149774629603391
5111115201913219115,6917508501173008954,4785499183287168509,-6215634663594744290,8836508987743809103,3293246847422795557
-7838000919054582150,-2167839778474325326,231281690254211527,7182931494487573654,-2323511129839590090,5779887740609126631
-7571123172959828025,2255878226385826814,-8286289711960957081,7636423839699365160,-6564402465035266866,-7534240757267992657
-1771108209511321547,-879594538384021068,-2323511129839590090,231281690254211527,-5082274522455747241,5779887740609126631
-3850803681204406658,-6761163882540291832,4546206336477094824,231281690254211527,-2323511129839590090,4815632823882298534
-6654470039478316910,8628621643938810986,-5314778455998444995,5681075485882787671,-6642751159620064055,-8933526098329881084
3715130189384008388,8550670510357310628,6222001809679591440,8631616594020837056,-2976309714446243509,6607431762270322325
-2896441888220202695,5929055844564382383,834896074125772354,-7034660627992927630,6831941111848480366,-6289909056857931861
6099026883115865746,5688444173453700360,5681075485882787671,-5953227649059336919,428486625959995206,-6739959707791598779
-1251258405608426882,4785499183287168509,8428597553954921991,-2976309714446243509,-78667914647336721,4893900714822288649
790210667253898984,-2167839778474325326,4815632823882298534,-6761163882540291832,231281690254211527,-2323511129839590090
1536798472239364319,5037403311832115000,5930806521893160184,-3060116862184714437,6847460841437230342,-8900113512825364282
-5881946480525580860,-3745582971859460684,-6570327055377820618,6678691743269420670,-3751249597609107201,5258604889412591249
1737303669706106633,-623310439329591027,5395868751435718725,-4762897581600184489,-9089854794058353436,-434149774629603391
-5920475612630001479,2930191803881821526,3467834993860080188,215332765550420709,-6642751159620064055,-2097075598039554565
-615862350872519037,-2167839778474325326,-6761163882540291832,-3387298624573211014,-2323511129839590090,4546206336477094824
-4996336942690402156,1184320069221244535,-4270702541777554377,-6728844082024523434,-4333957157636611418,5271205718596251417
