,If you read,Recommendation 1,Recommendation 2,Recommendation 3,Recommendation 4,Recommendation 5
-9192549002213406534,Chrome OS now has Material Design for the desktop,Alecrim/AlecrimCoreData,Acesse a versão Material Design do YouTube | Google Discovery,Calm down: Google's use of Material Design on iOS is fine,Progressive Web App - first introduced on Google I/O | airberlin,Benchmarks for the Top Server-Side Swift Frameworks vs. Node.js
-9189659052158407108,Eddy Cue and Craig Federighi Open Up About Learning From Apple's Failures,Resenha - A Chegada,How to Design a Walkthrough That Users Will Read,Introduction · Bitcoin para Programadores,You don't talk about refactoring club,"The code that took America to the moon was just published to GitHub, and it's like a 1960s time capsule"
-9176143510534135851,Livraria dá adeus a estoque e imprime livros na hora,Up your app's sharing game with DirectShare - Google Developers,The barbell effect of machine learning.,How Mark Zuckerberg Led Facebook's War to Crush Google Plus,Lists are the new search,This Super Accurate Portrait Selection Tech Uses Neural Networks
-9160910454530522563,"Apple's new file manager, APFS, is awesome",A New Number Format for Computers Could Nuke Approximation Errors for Good,The End Of Apple Man,CSS Containment in Chrome 52 | Web Updates - Google Developers,Our password hashing has no clothes,Microsoft expands its support for Docker containers
-9128741757954228992,Confirmed: Walmart buys Jet.com for $3B in cash,How enterprise architects can help ensure success with digital transformations,Artificial intelligence produces realistic sounds that fool humans,A step-by-step guide to agile growth experiments,Two Different Sales Motions . . . .,2 terrific #MarTech talks on the rise of AI in marketing - Chief Marketing Technologist
-9086955082453789880,We are on the verge of a consumer M&A avalanche,The economic essentials of digital strategy,"Google acquires Synergyse, an interactive training service for Google Apps",AI Is Here to Help You Write Emails People Will Actually Read,Innovation is in all the wrong places,The new tech talent you need to succeed in digital
-9033211547111606164,Google's Cloud Machine Learning service is now in public beta,"Hello, TensorFlow!",Power to the People: How One Unknown Group of Researchers Holds the Key to Using AI to Solve Real...,Blaise Agüera y Arcas: How computers are learning to be creative,The AI business landscape,Google researchers teach AIs to see the important parts of images - and tell you about them
-9028990334396397584,Xamarin for Everyone,Netflix emociona com vídeo destacando personagens LGBT,​Microsoft and Canonical partner to bring Ubuntu to Windows 10 | ZDNet,Why porting an iOS design to Android will not work,Itaú segue tendência das fintechs e se torna primeiro banco tradicional a permitir abertura de contas por app - Startupi,"Fresco, sim! - Android Dev BR"
-9019582414165805420,Bradesco e Visa anunciam pulseira que substitui cartão | EXAME.com,Can Accenture Take Over Advertising?,Governo define cronograma para plano nacional de Internet das Coisas,MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,"No, Apple isn't the next BlackBerry - it's the next Microsoft",The future of the shopping mall
-9019233957195913605,Berners-Lee quer criar outra Web,It's The Future,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,Lists are the new search,"Autofill: What web devs should know, but don't",Graduação já não garante uma carreira de sucesso em TI - CIO
-8992803137960175254,4 Reasons Managers Should Spend More Time on Coaching,Robert Waldinger: Do que é feita uma vida boa? Lições do mais longo estudo sobre felicidade,Sam Newman - Backends For Frontends,What Color is Your Function?,Learning How to Learn: The Most Important Developer Skill - Free Code Camp,"Para neurociência, motivação não é fator principal em mudança de hábitos"
-8992201526199201450,15 Awesome Sublime Text Plugins For Web Development,Most Interesting APIs in 2016: Cognitive Computing,Machine Learning Is No Longer Just for Experts,How to build cross-platform mobile apps using nothing more than a JSON markup,Google lança YouTube Kids no Brasil | Google Discovery,Modelando APIs REST com Swagger
-8964534883296838326,Why Evernote Is Giving Up on Its Data Centers for Google Cloud,Google Cloud Platform sets a course for new horizons,Test and deploy to Google App Engine with the new Maven and Gradle plugins,Spark comparison: AWS vs. GCP,Google cloud boss Diane Greene: We're winning against AWS and Microsoft,Google's Cloud Dataflow stomps on Apache Spark in new benchmark tests
-8954346068661072425,The technology behind preview photos,Exploring Java's Hidden Costs,Tasting Dagger 2 on Android,Cubr,"GitLab launches Issue Boards, an open-source task management tool that resembles Trello",Criando ícones animados no Android
-8950763842769120954,Mobify report reveals impact of mobile website speed,bliki: StranglerApplication,"Don't Start Big, Start a Little Snowball",Google Cloud Platform's preemptible VMs are now up to 33% cheaper,Things you probably didn't know you could do with Chrome's Developer Console,Bringing easy and fast checkout with Payment Request API | Web Updates - Google Developers
-8949113594875411859,"No Brasil, '25% dos celulares ainda são 'Burrofones'",MOBILE TIME - FlyHelo: app permite compartilhamento de jatos e helicópteros em São Paulo,A digital crack in banking's business model,"No, Apple isn't the next BlackBerry - it's the next Microsoft",Mobile marketing statistics 2016,Usability Heuristics for Bots - Chatbots Magazine
-8948234514303933700,Nova pulseira tecnológica avisa se você já bebeu demais,Governo abre consulta pública para Plano Nacional de IoT | NOTÍCIAS - Brasscom,Aplicação de visão computacional com OpenCV,Par de alianças impede que seu parceiro assista Netflix sem você,Using behavioral data to improve customer satisfaction,"Docker - Build, Ship, and Run Any App, Anywhere"
-8900113512825364282,Banking Needs a Customer Experience Wake-Up Call,Measuring email effectiveness in retail banking,"Elopar lança o ""Digio"", cartão para brigar com Nubank",XP quer ter banco no Brasil e vai abrir escritório em Genebra este mês,The new tech talent you need to succeed in digital,Shopping app Spring's redesign could be a game-changer
-8854146354650101086,"Within a Decade, Retail Banks will be Dead",Banking Needs a Customer Experience Wake-Up Call,Google I/O 2016: Android's failure to innovate hands a Apple free run at WWDC,71 erros de português que precisam sumir dos seus e-mails,Beyond Progressive Web Apps Part 2: We Need to Know What's New,Accidental discovery could help batteries last years longer
-8813724423497152538,Itaú é pioneiro do blockchain,Brazil's Banco Bradesco Joins R3 Consortium - CoinDesk,The moment when you realize every server in the world is vulnerable - Free Code Camp,"Google Pixel, o primeiro smartphone feito pelo Google | Google Discovery",Google adiciona medidor de velocidade da internet nos resultados de pesquisa | Google Discovery,Transfer Style But Not Color
